,Title,Company,Location,Post_Date,URL,Current Status,Source,Description
0,"Program Coordinator, THE REAL CHI",Free Spirit Media,"Chicago, Illinois",2018-10-17 17:36:57,https://careers.journalists.org/jobs/11589220/program-coordinator-the-real-chi,NaN,careers,NaN
1,Editor,Colorado Public Radio,"Denver Metro, Colorado",2018-11-07 17:36:57,https://careers.journalists.org/jobs/11668329/editor,NaN,careers,NaN
2,"Assistant Editor, The Nation’s Health",American Public Health Association,"Washington, D.C.",2018-10-15 17:36:57,https://careers.journalists.org/jobs/11490194/assistant-editor-the-nation-s-health,NaN,careers,NaN
3,Public Relations Specialist,American College of Radiology,"Reston, VA",2018-11-07 17:36:57,https://careers.journalists.org/jobs/11661551/public-relations-specialist,NaN,careers,NaN
4,Marketing and Communications Coordinator,Chapman University,"Orange, California",2018-11-13 17:36:57,https://careers.journalists.org/jobs/11688348/marketing-and-communications-coordinator,NaN,careers,1.0
5,Media Relations Specialist,Columbia University,"New York, New York",2018-06-17 17:36:57,https://careers.journalists.org/jobs/11114983/media-relations-specialist,NaN,careers,NaN
6,Communications Specialist,Stanford University,"Stanford, California",2018-08-16 17:36:57,https://careers.journalists.org/jobs/11276544/communications-specialist,NaN,careers,NaN
7,Content and Social Media Manager,Stanford University,"Stanford, California",2018-07-17 17:36:57,https://careers.journalists.org/jobs/11228284/content-and-social-media-manager,NaN,careers,NaN
8,Advocacy Communications Specialist,Society for Neuroscience,"Washington, D.C.",2018-10-31 17:36:57,https://careers.journalists.org/jobs/11644532/advocacy-communications-specialist,NaN,careers,NaN
9,"Faculty Member, Investigative Journalism (Open Rank)",Northwestern University,Illinois,2018-10-31 17:36:57,https://careers.journalists.org/jobs/11644665/faculty-member-investigative-journalism-open-rank,NaN,careers,NaN
10,"Chief Communications Officer, UCLA Hammer Museum",UCLA,"Los Angeles, California",2017-11-14 17:36:57,https://careers.journalists.org/jobs/10333254/chief-communications-officer-ucla-hammer-museum,NaN,careers,NaN
11,Associate Professor - Critical Journalism Studies,"University of California, San Diego","La Jolla, California",2018-07-17 17:36:57,https://careers.journalists.org/jobs/11163429/associate-professor-critical-journalism-studies,NaN,careers,NaN
12,Assistant Professor - Critical Journalism Studies,"University of California, San Diego","La Jolla, California",2018-07-17 17:36:57,https://careers.journalists.org/jobs/11241901/assistant-professor-critical-journalism-studies,NaN,careers,NaN
13,"Reporter, Virginia (15016)",American University,"Washington, D.C.",2018-09-15 17:36:57,https://careers.journalists.org/jobs/11408834/reporter-virginia-15016,NaN,careers,NaN
14,"Digital Executive Editor, The World",Public Radio International,"Boston, Massachusetts",2018-11-07 17:36:57,https://careers.journalists.org/jobs/11664654/digital-executive-editor-the-world,NaN,careers,NaN
15,Science Writer (7 Month Fixed-Term),Stanford University,"Stanford, California",2018-11-07 17:36:57,https://careers.journalists.org/jobs/11667962/science-writer-7-month-fixed-term,NaN,careers,NaN
16,Communications Manager,Harvard University Kennedy School,USA - MA - Cambridge,2018-10-24 17:36:57,https://careers.journalists.org/jobs/11611080/communications-manager,NaN,careers,NaN
17,Film Critics,Film Daily,United States,an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=e6df9329c7831a17,NaN,indeed,NaN
18,Senior Data Journalist,Textio,"Seattle, WA 98104 (First Hill area)",2018-11-09 17:37:00,https://www.indeed.com/viewjob?jk=38e305b7cedab99a,NaN,indeed,11.0
19,Multi Media Journalist,Nexstar Broadcasting,"Henderson, KY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=922dae7b2277ac40,NaN,indeed,NaN
20,Emerging Journalist Fellow,KCTS 9,"Seattle, WA",2018-11-09 17:37:00,https://www.indeed.com/viewjob?jk=5f11f0c5fc856cf4,NaN,indeed,2.0
21,"Cyber Journalist,Writer",WSVN 7News,"Miami, FL",2018-11-12 17:37:00,https://www.indeed.com/viewjob?jk=c0729b0a87f50071,NaN,indeed,1.0
22,Journalist,Duta,"Los Altos, CA 94022",2018-10-29 17:37:00,https://www.indeed.com/viewjob?jk=ae14a79259ef7438,NaN,indeed,NaN
23,Data Journalist,Mother Jones,"San Francisco, CA 94108 (Financial District area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=f3ccbf922bd7d17e,NaN,indeed,8.0
24,Traffic Anchor / Multiskilled Journalist,TEGNA,"Tampa, FL",2018-11-13 17:37:00,https://www.indeed.com/viewjob?jk=fefad415922a307e,NaN,indeed,NaN
25,Community Journalist,Media Networks,"New York, NY",2018-11-11 17:37:00,https://www.indeed.com/viewjob?jk=9a9a303fba57d6ef,NaN,indeed,NaN
26,Community Journalist (Union),Media Networks,"San Francisco, CA",2018-10-19 17:37:00,https://www.indeed.com/viewjob?jk=236b90aef655fead,NaN,indeed,NaN
27,Video Journalist,Nexstar Broadcasting,"San Francisco, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=f82060de9a0df1fd,NaN,indeed,NaN
28,Journalist,Los Angeles Hoopz,"Los Angeles, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=e81211b6e3ae7306,NaN,indeed,NaN
29,Junior Content Writer,Film Daily,United States,an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=57bb1641332b2c55,NaN,indeed,NaN
30,Video Journalist,Information equity holdings,"New York, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=730060abf6817798,NaN,indeed,NaN
31,Journalist,Tribune Publishing,"Orlando, FL",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=ef5b722fc7f84478,NaN,indeed,NaN
32,Vloggers,Film Daily,United States,an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=67622a27bc4ff8d5,NaN,indeed,NaN
33,Investigative Data Journalist,The Markup,"New York, NY",2018-11-10 17:37:02,https://www.indeed.com/viewjob?jk=32b638197982e277,NaN,indeed,14.0
34,Multiple Media Journalist,Nexstar Broadcasting,"Minot, ND",2018-10-25 17:37:02,https://www.indeed.com/viewjob?jk=8b68159f4f588b4d,NaN,indeed,NaN
35,Photo Journalist,Nexstar Broadcasting,"East Providence, RI",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=a3e77d4df80dd63d,NaN,indeed,NaN
36,Foreign Policy Correspondent (Level 1 Journalist),Thomson Reuters,"Washington, DC 20005 (Logan Circle area)",2018-10-28 17:37:04,https://www.indeed.com/viewjob?jk=0c91891e3f09d7ea,NaN,indeed,NaN
37,Multiskilled Journalist,TEGNA,"St. Louis, MO",2018-11-07 17:37:04,https://www.indeed.com/viewjob?jk=f8fe90273588faf2,NaN,indeed,NaN
38,Anchor/Reporter,Univision communications inc,United States,2018-11-14 02:37:04,https://www.indeed.com/viewjob?jk=78fa09c852035d88,NaN,indeed,NaN
39,Journalist,AccuWeather,"State College, PA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=5bb295016bd2b99b,NaN,indeed,2.0
40,Brand Journalist - LHI,UnitedHealth Group,"La Crosse, WI 54602",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=5d8abc59970031f9,NaN,indeed,NaN
