title,founded,website,twitter,facebook,gplus,youtube,rss,description
"“Tak-tak-tak” Foundation For Promotion of Mass Communication and Education in the Sphere of Law, Russia", 2013,https://taktaktak.ru/,https://twitter.com/TAKTAKTAK_RUS,https://fb.com/groups/194736503880841/,,,,"“Tak-tak-tak” Foundation For Promotion of Mass Communication and Education in the Sphere of Law began in 2013 to continue work by the Press Development Institute-Siberia to develop new methods of citizen and public investigative journalism. It brings together citizens, human rights defenders and journalists on social issues and human rights through legal consultations; investigative reporting; and training seminars and workshops. Based in Novosibirsk, Siberia, Tak-tak-tak opens its site to investigative projects from any person."
100Reporters (US),,http://100r.org/,https://twitter.com/100Reporters,https://fb.com/100Reporters,,,http://100r.org/feed/,"Dedicated to forging new frontiers in responsible journalism, 100Reporters joins scores of the planet’s finest professional reporters with whistleblowers and citizen journalists across the globe, to report on corruption in all its forms. The organization, spearheaded by veteran correspondents of top-tier news outlets, aims to raise the caliber, impact and visibility of citizen-driven investigative journalism, as a means of promoting transparency and good government."
African Investigative Publishing Collective (AIPC) (Ghana/Netherlands),,http://www.investigativecollective.com/,https://twitter.com/aipcofficial,,,,,"The African Investigative Publishing Collective is an association of veteran investigative journalists who have dedicated their working -and often also private- lives to the exposure of wrongs in their societies. It is inspired by a commitment to dig deeper, unearth injustice and uncover truths in the public interest, that is, in the service of democracy, transparency and development."
African Network of Centers for Investigative Reporting (ANCIR), 2014,http://investigativecenters.org/,https://twitter.com/AfricanCIR,https://fb.com/AfricaInvestigated,,,,"The African Network of Centers for Investigative Reporting (ANCIR) was founded in 2014 and includes ten investigative newsrooms across Africa. The South Africa-based ANCIR (pronounced “anchor”) seeks to strengthen and help sustain African investigative journalism by improving expertise, insight, and production capacity. Focusing on the “business of news,” the network supports training, collaborative projects, and specialized data tools."
"Agency for Journalistic Investigations, Belarus",,http://www.agentura.by/,,,,,http://www.agentura.by/?q=rss.xml,
Alliance of Independent Journalists, 1994,http://aji.or.id,https://twitter.com/AJIIndo,https://fb.com/ajiindonesia,,https://www.youtube.com/channel/UCOYDdIfokhiWrKSXeji6apw,,"The Alliance of Independent Journalists (AIJ) plays a key role in promoting investigative journalism in Indonesia. Founded in 1994 and based in Jakarta, AJI was the first independent journalists association in Indonesia. Its inception was triggered by the dictatorial regime of Soeharto, which banned several courageous investigative journalism publications, including Tempo Magazine. AJI also provides legal support when independent journalists are sued or harassed because of their muckraking activities."
AmaBhungane Centre for Investigative Journalism (South Africa), 2010,http://amabhungane.co.za/,https://twitter.com/amaBhungane,https://fb.com/amaBhungane/,,,,"The amaBhungane Centre for Investigative Journalism, previously the M&G Centre for Investigative Journalism, is a non-profit company that develops investigative journalism—a public interest task we believe promotes free, capable and worthy media and open, accountable and just democracy."
Arab Reporters for Investigative Journalism (ARIJ), 2005,http://en.arij.net/,https://twitter.com/ARIJNetwork,https://fb.com/ARIJNetwork,,,,"Arab Reporters for Investigative Journalism (ARIJ) is the first and only nonprofit organization in the region dedicated to promoting investigative journalism in Arab newsrooms, still an alien practice. The Amman-based ARIJ was formed in early 2005 to support independent quality professional journalism, through funding in-depth journalism projects, and offering media coaching. It helps journalists working in print, radio, tv and on-line media in Jordan, Syria, Lebanon, Egypt, Iraq, Bahrain, Palestine, Yemen and Tunisia."
Argentinian Journalism Forum (FOPEA), 2002,http://www.fopea.org/,https://twitter.com/fopea,https://fb.com/fopea,,,,"The Forum for Argentine Journalism (FOPEA) is an organization of more than 400 journalists, including most of Argentina’s best-known names in investigative journalism. It is dedicated to improving the quality of journalism as a vital support to the nation’s democracy. FOPEA wrote the first nationwide code of ethics, signed byall members. It holds dozens of training sessions yearly on all aspects of journalism, promoting in particular investigative journalism. FOPEA’s Freedom of Expression Monitor is the country’s main tool for tracking, and responding to attacks against journalists."
Armando.info (Venezuela), 2010,http://www.armando.info/,https://twitter.com/armandoinfo,,,,,"Armando.info was founded by three well-known venezuelan investigative reporters: Alfredo Meza, Joseph Poliszuk and Ewald Scharfenberg. In its short life, Armando.info has developed special projects with partners such as ICIJ (Coltan/ Offshore leaks/ Swissleaks/ Panama Papers), regional newspapers as La Nación and Clarín (Argentina), El Universo (Ecuador), El Nuevo Herald y Univisión (Florida-USA), Connectas (Colombia), Confidencial (Nicaragua), La Nación (Costa Rica), Ciper (Chile)."
